lat_merc;lon_merc
1346965.84;9741323.35
1346965.84;10015051.24
1346965.84;10299995.5
1358097.79;9741323.35
1369229.74;9768218.72
1369229.74;9849530.45
1369229.74;9876845.9
1380361.69;9822321.38
1380361.69;9849530.45
1380361.69;9876845.9
1380361.69;9987189.93
1391493.63;9795217.76
1391493.63;9822321.38
1391493.63;9876845.9
1402625.58;9876845.9
1402625.58;9904268.63
1402625.58;9987189.93
1413757.53;9904268.63
1413757.53;10043024.62
1413757.53;10358420.52
1436021.43;9931799.58
1436021.43;9959439.7
1436021.43;9987189.93
1447153.38;9931799.58
1447153.38;9959439.7
1447153.38;9987189.93
1447153.38;10015051.24
1447153.38;10043024.62
1447153.38;10417344.93
1458285.33;10071111.04
1458285.33;10417344.93
1469417.28;10043024.62
1469417.28;10071111.04
1469417.28;10099311.52
1469417.28;10476778.07
1491681.18;10476778.07
1502813.13;10099311.52
1502813.13;10476778.07
1513945.07;10127627.07
1513945.07;10476778.07
1525077.02;10127627.07
1558472.87;10184607.52
1569604.82;9959439.7
1580736.77;10506688.41
1591868.72;10242060.79
1603000.67;10242060.79
1614132.62;10506688.41
1625264.57;10506688.41
1658660.41;10627650.3
1669792.36;10536729.55
1680924.31;10719794.02
1714320.16;10627650.3
1714320.16;10658227.24
1736584.06;14476656.96
1781111.85;10566902.74
1792243.8;10506688.41
1792243.8;10844617.07
1836771.6;10688941.37
1847903.55;10688941.37
1859035.5;10719794.02
1881299.39;10658227.24
1936959.14;10566902.74
1948091.09;10907895.74
1970354.99;10907895.74
1992618.89;10907895.74
1992618.89;11036245.79
2003750.83;10813196.66
2003750.83;10939756.91
2014882.78;10876182.95
2070542.53;11003930.41
2081674.48;10971767.97
2103938.38;10939756.91
2115070.33;10939756.91
2115070.33;10971767.97
2137334.22;11003930.41
2181862.02;11068715.66
2192993.97;11068715.66
2204125.92;11036245.79
2226389.82;11101341.61
2248653.71;11036245.79
2304313.46;11068715.66
2337709.31;11068715.66
2482424.64;11134125.24
2549216.34;11233438.68
2560348.29;11266869.62
2593744.14;11068715.66
2616008.03;11200172.1
2627139.98;11233438.68
2627139.98;11266869.62
2627139.98;11300466.67
2638271.93;11266869.62
2638271.93;11300466.67
2649403.88;11300466.67
2660535.83;11402272.16
2749591.42;11402272.16
2827515.07;11436551.5
2849778.96;11368166.13
2894306.76;11402272.16
3150341.59;11436551.5
3239397.18;11368166.13
3306188.88;11266869.62
3339584.72;10971767.97
3350716.67;10971767.97
3462036.16;11200172.1
